t0,tf,angulo,delay_real,delay_ideal,jitter
281671485,281675921,90,4436,4166.666666666667,269.33333333333303
281680681,281685087,90,4406,4166.666666666667,239.33333333333303
281688147,281692552,90,4405,4166.666666666667,238.33333333333303
281697343,281701779,90,4436,4166.666666666667,269.33333333333303
281704822,281709227,90,4405,4166.666666666667,238.33333333333303
281713996,281718402,90,4406,4166.666666666667,239.33333333333303
281721466,281725871,90,4405,4166.666666666667,238.33333333333303
281730658,281735091,90,4433,4166.666666666667,266.33333333333303
281738133,281742539,90,4406,4166.666666666667,239.33333333333303
281747318,281751724,90,4406,4166.666666666667,239.33333333333303
281754785,281759190,90,4405,4166.666666666667,238.33333333333303
281763980,281768386,90,4406,4166.666666666667,239.33333333333303
281771449,281775856,90,4407,4166.666666666667,240.33333333333303
281780644,281785051,90,4407,4166.666666666667,240.33333333333303
281788109,281792515,90,4406,4166.666666666667,239.33333333333303
281797298,281801704,90,4406,4166.666666666667,239.33333333333303
281804766,281809171,90,4405,4166.666666666667,238.33333333333303
281813963,281818369,90,4406,4166.666666666667,239.33333333333303
281821430,281825836,90,4406,4166.666666666667,239.33333333333303
281830622,281835027,90,4405,4166.666666666667,238.33333333333303
281838089,281842494,90,4405,4166.666666666667,238.33333333333303
281847277,281851682,90,4405,4166.666666666667,238.33333333333303
281854751,281859196,90,4445,4166.666666666667,278.33333333333303
281863945,281868350,90,4405,4166.666666666667,238.33333333333303
281871410,281875843,90,4433,4166.666666666667,266.33333333333303
281880604,281885019,90,4415,4166.666666666667,248.33333333333303
281888067,281892498,90,4431,4166.666666666667,264.33333333333303
281897261,281901666,90,4405,4166.666666666667,238.33333333333303
281904727,281909132,90,4405,4166.666666666667,238.33333333333303
281913926,281918332,90,4406,4166.666666666667,239.33333333333303
281921388,281925794,90,4406,4166.666666666667,239.33333333333303
281930575,281934981,90,4406,4166.666666666667,239.33333333333303
281938050,281942482,90,4432,4166.666666666667,265.33333333333303
281947244,281951649,90,4405,4166.666666666667,238.33333333333303
281954708,281959113,90,4405,4166.666666666667,238.33333333333303
281963901,281968306,90,4405,4166.666666666667,238.33333333333303
281971371,281975778,90,4407,4166.666666666667,240.33333333333303
281980557,281984992,90,4435,4166.666666666667,268.33333333333303
281988039,281992474,90,4435,4166.666666666667,268.33333333333303
281997216,282001621,90,4405,4166.666666666667,238.33333333333303
282004684,282009089,90,4405,4166.666666666667,238.33333333333303
282013878,282018283,90,4405,4166.666666666667,238.33333333333303
282021341,282025747,90,4406,4166.666666666667,239.33333333333303
282030538,282034954,90,4416,4166.666666666667,249.33333333333303
282038001,282042406,90,4405,4166.666666666667,238.33333333333303
282047200,282052587,90,5387,4166.666666666667,1220.333333333333
282055632,282060051,90,4419,4166.666666666667,252.33333333333303
282063864,282068300,90,4436,4166.666666666667,269.33333333333303
282071348,282075783,90,4435,4166.666666666667,268.33333333333303
282080519,282084925,90,4406,4166.666666666667,239.33333333333303
282087989,282092396,90,4407,4166.666666666667,240.33333333333303
282097186,282101592,90,4406,4166.666666666667,239.33333333333303
282104646,282109052,90,4406,4166.666666666667,239.33333333333303
282113843,282118278,90,4435,4166.666666666667,268.33333333333303
282121324,282125761,90,4437,4166.666666666667,270.33333333333303
282130494,282134901,90,4407,4166.666666666667,240.33333333333303
282137965,282142397,90,4432,4166.666666666667,265.33333333333303
282147160,282151566,90,4406,4166.666666666667,239.33333333333303
282154626,282159032,90,4406,4166.666666666667,239.33333333333303
282163817,282168223,90,4406,4166.666666666667,239.33333333333303
282171284,282175689,90,4405,4166.666666666667,238.33333333333303
282180472,282184879,90,4407,4166.666666666667,240.33333333333303
282187944,282192350,90,4406,4166.666666666667,239.33333333333303
282197141,282201546,90,4405,4166.666666666667,238.33333333333303
282204604,282209009,90,4405,4166.666666666667,238.33333333333303
282213801,282218236,90,4435,4166.666666666667,268.33333333333303
282221277,282225683,90,4406,4166.666666666667,239.33333333333303
282230466,282234899,90,4433,4166.666666666667,266.33333333333303
282237941,282242347,90,4406,4166.666666666667,239.33333333333303
282247129,282251535,90,4406,4166.666666666667,239.33333333333303
282254583,282258988,90,4405,4166.666666666667,238.33333333333303
282263778,282268183,90,4405,4166.666666666667,238.33333333333303
282271245,282275651,90,4406,4166.666666666667,239.33333333333303
282280440,282284845,90,4405,4166.666666666667,238.33333333333303
282287913,282292319,90,4406,4166.666666666667,239.33333333333303
282297103,282301509,90,4406,4166.666666666667,239.33333333333303
282304568,282309003,90,4435,4166.666666666667,268.33333333333303
282313758,282318164,90,4406,4166.666666666667,239.33333333333303
282321232,282325639,90,4407,4166.666666666667,240.33333333333303
282330414,282334820,90,4406,4166.666666666667,239.33333333333303
282337883,282342289,90,4406,4166.666666666667,239.33333333333303
282347076,282351482,90,4406,4166.666666666667,239.33333333333303
282354546,282358952,90,4406,4166.666666666667,239.33333333333303
282363741,282368147,90,4406,4166.666666666667,239.33333333333303
282371210,282375617,90,4407,4166.666666666667,240.33333333333303
282380397,282384802,90,4405,4166.666666666667,238.33333333333303
282387861,282392266,90,4405,4166.666666666667,238.33333333333303
282397052,282401457,90,4405,4166.666666666667,238.33333333333303
282404520,282408926,90,4406,4166.666666666667,239.33333333333303
282413720,282418155,90,4435,4166.666666666667,268.33333333333303
282421200,282425635,90,4435,4166.666666666667,268.33333333333303
282430369,282434775,90,4406,4166.666666666667,239.33333333333303
282437839,282442244,90,4405,4166.666666666667,238.33333333333303
282447029,282451435,90,4406,4166.666666666667,239.33333333333303
282454496,282458902,90,4406,4166.666666666667,239.33333333333303
282463691,282468097,90,4406,4166.666666666667,239.33333333333303
