angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
120,206871886,206877672,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,206888590,206894388,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,206905248,206911037,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,206921948,206927749,5801,5555.555555555556,245.44444444444434,5569.660851370063,14.105295814507372
120,206938645,206944431,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,206955276,206961090,5814,5555.555555555556,258.44444444444434,5582.660851370063,27.10529581450737
120,206971890,206977679,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,206988577,206994375,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207005280,207011065,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207021925,207027727,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207038653,207044443,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207055346,207061143,5797,5555.555555555556,241.44444444444434,5565.660851370063,10.105295814507372
120,207072048,207077834,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207088682,207094484,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207105279,207111068,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207121966,207127764,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207138744,207144534,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207155344,207161146,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207172038,207177824,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207188721,207194518,5797,5555.555555555556,241.44444444444434,5565.660851370063,10.105295814507372
120,207205359,207211150,5791,5555.555555555556,235.44444444444434,5559.660851370063,4.105295814507372
120,207222065,207227867,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207238765,207244550,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207255526,207261339,5813,5555.555555555556,257.44444444444434,5581.660851370063,26.10529581450737
120,207272009,207277799,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207288714,207294512,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207305419,207311204,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207322058,207327860,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207338782,207344571,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207355472,207361269,5797,5555.555555555556,241.44444444444434,5565.660851370063,10.105295814507372
120,207372057,207377843,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207388808,207394609,5801,5555.555555555556,245.44444444444434,5569.660851370063,14.105295814507372
120,207405414,207411204,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207422103,207427901,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207438749,207444538,5789,5555.555555555556,233.44444444444434,5557.660851370063,2.1052958145073717
120,207455460,207461262,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207472156,207477941,5785,5555.555555555556,229.44444444444434,5553.660851370063,-1.8947041854926283
120,207488840,207494637,5797,5555.555555555556,241.44444444444434,5565.660851370063,10.105295814507372
120,207505496,207511286,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207522207,207528009,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207538794,207544580,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207555784,207561598,5814,5555.555555555556,258.44444444444434,5582.660851370063,27.10529581450737
120,207572155,207577945,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207588844,207594643,5799,5555.555555555556,243.44444444444434,5567.660851370063,12.105295814507372
120,207605550,207611336,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207622187,207627989,5802,5555.555555555556,246.44444444444434,5570.660851370063,15.105295814507372
120,207638914,207644704,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
120,207655483,207661281,5798,5555.555555555556,242.44444444444434,5566.660851370063,11.105295814507372
120,207672182,207677968,5786,5555.555555555556,230.44444444444434,5554.660851370063,-0.8947041854926283
120,207688927,207694728,5801,5555.555555555556,245.44444444444434,5569.660851370063,14.105295814507372
120,207705533,207711323,5790,5555.555555555556,234.44444444444434,5558.660851370063,3.1052958145073717
