t0,tf,angulo,delay_real,delay_ideal,jitter
3699058,3703463,90,4405,4166.666666666667,238.33333333333303
3708252,3712654,90,4402,4166.666666666667,235.33333333333303
3715732,3720137,90,4405,4166.666666666667,238.33333333333303
3724923,3729325,90,4402,4166.666666666667,235.33333333333303
3732398,3736805,90,4407,4166.666666666667,240.33333333333303
3741596,3745999,90,4403,4166.666666666667,236.33333333333303
3749077,3753508,90,4431,4166.666666666667,264.33333333333303
3758272,3762674,90,4402,4166.666666666667,235.33333333333303
3765746,3770151,90,4405,4166.666666666667,238.33333333333303
3774942,3779344,90,4402,4166.666666666667,235.33333333333303
3782414,3786847,90,4433,4166.666666666667,266.33333333333303
3791613,3796045,90,4432,4166.666666666667,265.33333333333303
3799085,3803490,90,4405,4166.666666666667,238.33333333333303
3808280,3812681,90,4401,4166.666666666667,234.33333333333303
3815755,3820200,90,4445,4166.666666666667,278.33333333333303
3824950,3829382,90,4432,4166.666666666667,265.33333333333303
3832432,3836867,90,4435,4166.666666666667,268.33333333333303
3841618,3846021,90,4403,4166.666666666667,236.33333333333303
3849100,3853506,90,4406,4166.666666666667,239.33333333333303
3858293,3862695,90,4402,4166.666666666667,235.33333333333303
3865765,3870196,90,4431,4166.666666666667,264.33333333333303
3874961,3879363,90,4402,4166.666666666667,235.33333333333303
3882436,3886842,90,4406,4166.666666666667,239.33333333333303
3891631,3896034,90,4403,4166.666666666667,236.33333333333303
3899113,3903544,90,4431,4166.666666666667,264.33333333333303
3908308,3912709,90,4401,4166.666666666667,234.33333333333303
3915781,3920187,90,4406,4166.666666666667,239.33333333333303
3924976,3929379,90,4403,4166.666666666667,236.33333333333303
3932456,3936861,90,4405,4166.666666666667,238.33333333333303
3941653,3946085,90,4432,4166.666666666667,265.33333333333303
3949124,3953530,90,4406,4166.666666666667,239.33333333333303
3958320,3962721,90,4401,4166.666666666667,234.33333333333303
3965793,3970199,90,4406,4166.666666666667,239.33333333333303
3975002,3979403,90,4401,4166.666666666667,234.33333333333303
3991653,3996059,90,4406,4166.666666666667,239.33333333333303
3999144,4003545,90,4401,4166.666666666667,234.33333333333303
4008332,4012738,90,4406,4166.666666666667,239.33333333333303
4015822,4020224,90,4402,4166.666666666667,235.33333333333303
4024994,4029400,90,4406,4166.666666666667,239.33333333333303
4032487,4036888,90,4401,4166.666666666667,234.33333333333303
4041667,4046105,90,4438,4166.666666666667,271.33333333333303
4049160,4053561,90,4401,4166.666666666667,234.33333333333303
4058340,4062745,90,4405,4166.666666666667,238.33333333333303
4065837,4070269,90,4432,4166.666666666667,265.33333333333303
4075011,4079417,90,4406,4166.666666666667,239.33333333333303
4082502,4086903,90,4401,4166.666666666667,234.33333333333303
4091687,4096094,90,4407,4166.666666666667,240.33333333333303
4099175,4103577,90,4402,4166.666666666667,235.33333333333303
4108358,4112794,90,4436,4166.666666666667,269.33333333333303
4115848,4120250,90,4402,4166.666666666667,235.33333333333303
4125026,4129441,90,4415,4166.666666666667,248.33333333333303
4132519,4136930,90,4411,4166.666666666667,244.33333333333303
4141696,4146103,90,4407,4166.666666666667,240.33333333333303
4149190,4153591,90,4401,4166.666666666667,234.33333333333303
4158371,4162777,90,4406,4166.666666666667,239.33333333333303
4165867,4170269,90,4402,4166.666666666667,235.33333333333303
4175041,4179447,90,4406,4166.666666666667,239.33333333333303
